"rank","route","count"
1,"http-get:/api/user/accounts/*",151
2,"http-get:/api/campaigns/*",24
3,"http-get:/api/accounts/*/engage-configuration",9
4,"http-get:/api/accounts/*/contacts/*",8
5,"http-get:/api/accounts/*/messages/*",8
6,"http-get:/api/accounts/*/billing/plans",6
7,"http-get:/api/reporting/accounts/*/reports/*",6
8,"http-get:/api/events",4
9,"http-post:/api/accounts/*/get_recurring_plans",4
10,"http-get:/api/campaigns/*/auctions/*",3
11,"http-get:/api/accounts/*/message_templates",2
12,"http-get:/api/accounts/*/payouts/summary",2
13,"http-get:/api/user",2
14,"http-post:/api/accounts/*/quickbooks/refreshMapping",2
15,"http-get:/api/accounts/*/quickbooks/details",1
16,"http-get:/api/campaigns/*/items/*",1
17,"http-get:/api/campaigns/*/paddle_raise/intents/*",1
18,"http-get:/api/message_templates",1
