"rank","signature","count","cross_stack","top_routes"
1,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Resource → BE:Model",44,true,"http-get:/api/user/accounts/*(36); http-get:/api/campaigns/*(6); http-get:/api/accounts/*/contacts/*(2)"
2,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Resource",43,true,"http-get:/api/user/accounts/*(38); http-get:/api/events(2); http-get:/api/accounts/*/messages/*(2); http-get:/api/campaigns/*/auctions/*(1)"
3,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Resource",40,true,"http-get:/api/user/accounts/*(39); http-get:/api/campaigns/*/auctions/*(1)"
4,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Backend",37,true,"http-get:/api/user/accounts/*(16); http-get:/api/campaigns/*(13); http-get:/api/accounts/*/contacts/*(3); http-get:/api/events(2); http-get:/api/accounts/*/messages/*(2); http-get:/api/campaigns/*/auctions/*(1)"
5,"FE:Page → FE:Hook",28,false,""
6,"FE:Page → FE:Hook → FE:Component",27,false,""
7,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Backend",14,true,"http-get:/api/user/accounts/*(13); http-get:/api/campaigns/*(1)"
8,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Resource → BE:Model",9,true,"http-get:/api/user/accounts/*(9)"
9,"FE:Page → FE:Api → HTTP:GET → BE:Controller → BE:Backend",8,true,"http-get:/api/accounts/*/billing/plans(4); http-get:/api/accounts/*/messages/*(2); http-get:/api/accounts/*/payouts/summary(1); http-get:/api/accounts/*/engage-configuration(1)"
10,"FE:Page → FE:Api → HTTP:GET → BE:Controller → BE:Service → BE:Model",8,true,"http-get:/api/accounts/*/engage-configuration(8)"
11,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Resource → BE:Model → BE:Backend",4,true,"http-get:/api/campaigns/*(4)"
12,"FE:Page → FE:Hook → FE:Util",4,false,""
13,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Backend",4,true,"http-get:/api/reporting/accounts/*/reports/*(4)"
14,"FE:Page → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Resource",3,true,"http-get:/api/accounts/*/messages/*(2); http-get:/api/message_templates(1)"
15,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:FormRequest",3,true,"http-get:/api/accounts/*/contacts/*(3)"
16,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller",2,true,"http-get:/api/campaigns/*/items/*(1); http-get:/api/user(1)"
17,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Backend",2,true,"http-get:/api/reporting/accounts/*/reports/*(2)"
18,"FE:Page → BE:Routes → BE:Controller → BE:Backend",2,true,""
19,"FE:Page → FE:Api → HTTP:GET → BE:Controller → BE:Model",2,true,"http-get:/api/accounts/*/billing/plans(2)"
20,"FE:Page → FE:Api → HTTP:POST → BE:Backend",2,true,"http-post:/api/accounts/*/quickbooks/refreshMapping(2)"
21,"FE:Page → FE:Api → HTTP:POST → BE:Controller → BE:Resource → BE:Model",2,true,"http-post:/api/accounts/*/get_recurring_plans(2)"
22,"FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller",1,true,"http-get:/api/user(1)"
23,"FE:Page → BE:Routes → BE:Controller → BE:Model",1,true,""
24,"FE:Page → FE:Dashboard → FE:Hook → FE:Component",1,false,""
25,"FE:Page → FE:Dashboard → FE:Hook",1,false,""
26,"FE:Page → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Service",1,true,"http-get:/api/accounts/*/payouts/summary(1)"
27,"FE:Page → FE:Api → HTTP:GET → BE:Routes → BE:Backend",1,true,"http-get:/api/campaigns/*/paddle_raise/intents/*(1)"
28,"FE:Page → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Model",1,true,"http-get:/api/accounts/*/message_templates(1)"
29,"FE:Page → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Backend",1,true,"http-get:/api/accounts/*/message_templates(1)"
30,"FE:Page → FE:Api → HTTP:GET → BE:Backend",1,true,"http-get:/api/accounts/*/quickbooks/details(1)"
31,"FE:Page → FE:Api → HTTP:POST → BE:Controller → BE:Resource → BE:Model → BE:Backend",1,true,"http-post:/api/accounts/*/get_recurring_plans(1)"
32,"FE:Page → FE:Api → HTTP:POST → BE:Routes → BE:Controller → BE:Model",1,true,"http-post:/api/accounts/*/get_recurring_plans(1)"
33,"BE:Console → BE:Backend",1,false,""
