rank,cluster,signature,score,band,evidence_count,sample_size,coverage,signature_count,cluster_symbols,cluster_frontend,cluster_backend,cluster_mix_ratio,cluster_mixed_score,signature_top_route,example_1,example_2,example_3
1,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Resource → BE:Model",85,high,10,10,1,44,2107,1936,118,0.061,128.42,"http-get:/api/user/accounts/*","proc_10_transactionsdetailsf:TransactionsDetailsFormDrawer → Segment","proc_14_viewpledgedrawer:ViewPledgeDrawer → Campaign","proc_15_viewpledgedrawer:ViewPledgeDrawer → Segment"
2,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Resource",84,high,10,10,1,43,2107,1936,118,0.061,128.42,"http-get:/api/user/accounts/*","proc_17_viewpledgedrawer:ViewPledgeDrawer → BuildCampaignMenuItems","proc_26_quickbooksruledrawer:QuickBooksRuleDrawer → BuildCampaignMenuItems","proc_30_addmanualbidderdrawe:AddManualBidderDrawerContent → BuildCampaignMenuItems"
3,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Resource",82,high,10,10,1,40,2107,1936,118,0.061,128.42,"http-get:/api/user/accounts/*","proc_71_campaignitembundlefo:CampaignItemBundleFormDrawer → BuildCampaignMenuItems","proc_129_contacthouseholdmemb:ContactHouseholdMemberFormDrawer → WithFirstInclusiveTransactionAt","proc_131_contactrelationshipf:ContactRelationshipFormDrawer → WithFirstInclusiveTransactionAt"
4,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Backend",80,high,10,10,1,37,2107,1936,118,0.061,128.42,"http-get:/api/user/accounts/*","proc_111_eventdetails:EventDetails → Account.view","proc_117_sendfollowupmessage:SendFollowUpMessage → Account.view","proc_134_numbersettings:NumberSettings → Account.view"
5,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Backend",64,emerging,10,10,1,14,2107,1936,118,0.061,128.42,"http-get:/api/user/accounts/*","proc_18_viewpledgedrawer:ViewPledgeDrawer → Account.view","proc_27_quickbooksruledrawer:QuickBooksRuleDrawer → Account.view","proc_31_addmanualbidderdrawe:AddManualBidderDrawerContent → Account.view"
6,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Routes → BE:Controller → BE:Resource → BE:Model",61,emerging,9,9,1,9,2107,1936,118,0.061,128.42,"http-get:/api/user/accounts/*","proc_0_quickbooksruledrawer:QuickBooksRuleDrawer → Campaign","proc_1_addmanualbidderdrawe:AddManualBidderDrawerContent → Campaign","proc_2_pledgetransactiondra:PledgeTransactionDrawer → Campaign"
7,"Api","FE:Page → FE:Api → HTTP:GET → BE:Controller → BE:Backend",60,emerging,8,8,1,8,2107,1936,118,0.061,128.42,"http-get:/api/accounts/*/billing/plans","proc_185_engageindex:EngageIndex → Account.view","proc_187_lettereasysendtracki:LetterEasySendTracking → Communications.view","proc_229_personalizedlettercu:PersonalizedLetterCurrentContactHeader → Communications.view"
8,"Api","FE:Page → FE:Api → HTTP:GET → BE:Controller → BE:Service → BE:Model",60,emerging,8,8,1,8,2107,1936,118,0.061,128.42,"http-get:/api/accounts/*/engage-configuration","proc_96_engageindex:EngageIndex → QueuedRegistration","proc_97_engageindex:EngageIndex → QueuedAuthorization","proc_98_engageindex:EngageIndex → QueuedConnection"
9,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Controller → BE:Resource → BE:Model → BE:Backend",58,emerging,4,4,1,4,2107,1936,118,0.061,128.42,"http-get:/api/campaigns/*","proc_152_campaignitembundlefo:CampaignItemBundleFormDrawer → PaddleRaise","proc_154_campaignitembundlefo:CampaignItemBundleFormDrawer → Appeal","proc_89_editintentdrawerbody:EditIntentDrawerBody → PaddleRaise"
10,"Api","FE:Page → FE:Hook → FE:Api → HTTP:GET → BE:Backend",58,emerging,4,4,1,4,2107,1936,118,0.061,128.42,"http-get:/api/reporting/accounts/*/reports/*","proc_163_sharereportdialog:ShareReportDialog → Reports.basic","proc_199_reportchart:ReportChart → Reports.basic","proc_279_reportchart:ReportChart → ForAccountIncludingDefaults"
